msno,city,bd,gender,registered_via,registration_init_time,expiration_date
XQxgAYj3klVKjR3oxPPXYYFp4soD4TuBghkhMTD4oTw=,1,0,,7,20110820,20170920
UizsfmJb9mV54qE9hCYyU07Va97c0lCRLEQX3ae+ztM=,1,0,,7,20150628,20170622
D8nEhsIOBSoE6VthTaqDX8U6lqjJ7dLdr72mOyLya2A=,1,0,,4,20160411,20170712
mCuD+tZ1hERA/o5GPqk38e041J8ZsBaLcu7nGoIIvhI=,1,0,,9,20150906,20150907
q4HRBfVSssAFS9iRfxWrohxuk9kCYMKjHOEagUMV6rQ=,1,0,,4,20170126,20170613
zgPOEyUn5a/Fvuzb3m69ajzxjkbblVtObglW89FzLdo=,13,43,female,9,20120703,20171006
Sw9AT8QoR4wWiNUqHZUH6g5ahzGUx4lo1g+Y3xE2f2M=,1,0,,4,20160326,20160329
pg6bT2XZkSP1TDBy4qn3HBPY/HffKQ/bg8WIISQYBSY=,1,0,,7,20160130,20170930
kfk1AdTNH2dNqF5LzIs4e0vwGPejw2jrnFjJlcYnEgk=,1,0,,7,20110111,20170930
tscijwx4dbEp0NXGl+iFtHJ8zrj+TkcMrduOQk9t+gE=,1,0,,7,20160217,20170613
GoFYKhcq8Q5Gjz1M5L0azHZOhcY+Za/T7fRqIGgBuYA=,12,28,male,9,20060531,20170816
Hiw71XZQSoEe1I7pBhPWi3kIrP7Ss7pwExZgtqFmtYw=,1,0,,7,20150909,20170909
V6QgFYHgsfZ2G6hFz1z2u3RrLt5BoLsZKBr+h0ZnFsA=,1,0,,7,20120105,20170918
RoSfblbwJN/izEnFIVw8TgOpm8R/NEpUC84Oz/b32HQ=,15,33,female,3,20150915,20171019
N+dxmo1qvkKAlzYtcxGzjrqcpVyX9J7AMlXFuYASKuY=,1,0,,3,20140412,20170815
vUzJAyFEudsnkWwfcLIKT5mJAV+uVRTW2uajCrghFwI=,13,20,male,3,20140410,20170427
Ev+ouoRTpAjrtxNVeThP6t9xnDG1puQaG28DvJ2db+A=,13,30,male,9,20070330,20170612
/NFMlPP8FvyxVLHcSA4af/BfbRvGXwD+IYpZqVylb7I=,1,0,,7,20121228,20170930
XeAoaR5gMiy74l4HUhHt10o36U7VevuMZOymd0EWqD0=,1,0,,4,20161224,20170614
v8+kU3kqYo9P8kIcuLrliJ/57jCTZG75cXvyYdagbhU=,1,0,,9,20160923,20170925
+QyD+0xRgzi2552jFOFk5FfDJsqfe5D6xmHpHf6J5Bk=,1,0,,4,20170124,20170127
2g1ydVe2XxKPTMf2P9BhFfZOUC0Kteti8KyMr6iVaj0=,5,29,male,4,20161124,20170808
IptzXjBNx4yZaetmolc/moHn2SYT2oZM7SX9mGyMKDo=,1,0,,9,20161209,20161212
v1/E8gN8p5TFweTX3HAc4mm31LxqP6c1ZGGJiKyCuH4=,1,0,,4,20170120,20170808
ed0hCzvhKVxHMIodLtgkzb1G4ryiet50rO/GE3W3pEA=,1,0,,4,20161209,20161212
tXcypQ/1TwiThcv2HfBhStBxDlza66KHCcbLAXFxey4=,1,0,,4,20160826,20170611
KxIHfr086p8f8yKp1ZUJF4EsA7qfpPguo0bNG2PkQBA=,1,0,,4,20170104,20170107
R01NRe7BNIWmterVXYzXQ82GZRu8rVHjRYyEpsIFxwQ=,1,0,,7,20140128,20170924
