song_id,name,isrc
LP7pLJoJFBvyuUwvu+oLzjT+bI+UeBPURCecJsX1jjs=,我們,TWUM71200043
ClazTFnk6r0Bnuie44bocdNMM3rdlrq0bCGAsGUWcHE=,Let Me Love You,QMZSY1600015
u2ja/bZE3zhCGxvbbOB3zOoUjx27u40cf5g09UXMoKQ=,原諒我,TWA530887303
92Fqsy0+p6+RHe2EoLKjHahORHR1Kq1TBJoClW9v+Ts=,Classic,USSM11301446
0QFmz/+rJy1Q56C1DuYqT9hKKqi5TUqx0sN0IwvoHrw=,愛投羅網,TWA471306001
QU8f6JR0/cwLGSqJX2XDVzFK0DxMaIUY15ALJXK7ziw=,Our Time,GBAYE1400079
O1Oj4CmnZhbHl7oyBaHSpGeu5gvcSmUydY3Awmv3uxk=,癢,HKUM70704066
Tr5R61AuEkN8UelOCzu09ZwQi7/HmP9sQmxf9rFngIg=,Aloha| E Komo Mai (Theme Song from Lilo & Stitch: The Series),USWD10423930
ie9l12ZYXEaP4evrBBUvnNnZGdupHSX5NU+tEqB1SDg=,每天愛你多一些,HKA610200010
6mICNlckUVGuoK/XGC7bnxXf5s2ZnkpFHShaGL/zM2Y=,你是你的,TWI431000103
BUQwTuzZ8GKEiHtFoI1hFcKRK1W3EEpfD+VLcIVkUzQ=,Guilty All The Same (feat. Rakim),USWB11400510
fuQO8mNakRgp0vDqDJbvorJvMcJMvSjldFKAz6g+27Y=,Steal My Girl,GBHMU1400159
oIkuw3YGuUhqJd8CMJxvBep4rEXXJxea71l1JO0EhfQ=,月亮惹的禍,TWB439808011
jAeBPAOGuLjjF81uYHVj8sayYH6VQhaHGPhTfq+u8O4=,什麼東西,TWF710800009
gB4Fu5VOaGR+E1ITkBnb4yU2SdZFW6Q+K/OHPAZhZJk=,雨水我問你,TWD970400025
uzWI7xZfL3gL2/B4ptZs0XfBuGC20ydak01SjhFuEtc=,如此美麗的妳,
EXBuTr6J7UY6MDozwT/UDRVnmW0VGRVfeGBzrxVlX3k=,老鷹之歌,
y2QmHXZMAhfVXwyQoimo5ZvMbNdS8qKCRRqKqU7izew=,離開,TWA451294108
isW4S3tqJo5Tce1AdM19n6TG53UQkBzyLFmb2QWK/G4=,Standing In The Rain,USAT21601931
OTKFDmheYsbqTCw2IEW4HDK3eckkrmXiQCWJWmgLSXI=,ONLY TIME (唯有時光),GBAHT0108626
r2+2/4YWEairmrZFCwJqTRfeIEYGS8oAW5FzPncfvGk=,Joy to the World,GBPS81528405
zXl5K/XMC/oPZ23YwKz36Y9fvdr7PeGv5D29QLBlpIs=,手語,TWK971201102
wSdWNC+BceQC4dBIgdNX7SGVXSFBhOCYTCWFtcvjmTw=,只要我長大,
SBDpmvkE5OQHwA75K9liYM0JaLsIPQ822tW/vwR87AQ=,海芋戀,TWA530887311
8lGxKW1C1//LB32ChXt1tRFxD84VbA0Q9MlPJy96A8Y=,ラピュタの崩壊,JPTK08680213
gNLE0pDB/j9enPk37b1x//rZ1JMdJ3VYuxlQvDTeP0g=,You're Beautiful,CAM460437524
rb/HxIZV0w4GJn8k7Khc71nh5se+JIs1x2wdAkEYhKI=,保護你,TWL251507101
HCLMm7t3Wz4j3Bfc68yQ/kn32NQrM3OrfZmaxJIPoT8=,誰人愛我親像你,
8NQymzoLhppIDdosaOzqicFTQ/Jmx73/hTSPsSqvp8g=,你是被抹去的那一段風景 (You are the Scene I Erased),TWS171500002
OG9PdbryZ35Qeikl+XsaS+t13LikbM11c0i+mCs3ukE=,真的嗎,TWA459801803
/wd/R30LzdOU2vdYJcFnwJxgvHF/F2Tv/f0IDmOehU4=,I Remember (I Remember),TWA530799301
6A5SyXN36gRB1ppY+sA5sXx66SKPVZRyg7yOsWd32x8=,無路可退,TWA771100999
czaF5y1r4IaD2wcVX+UxHrj9cuxzG6IEzIgSvSG0O+0=,Teardrop,QM7281458573
rHFZhtfaaINsP5ILQuXzDo3xG2qg6t8s24GjeilNIHQ=,來去夏威夷,TWK231205309
4lF7zmVThSZprE1ZHRzfeOsmh/WQ0yvqDAQPQLpWbAo=,讓我愛上我,TWB511381229
R5MzxGnVfulaqNRr1jQtwvftK7zq1cpCVNQdv5z0HXA=,我是你的人,TWA219106903
J8EMe2REriFuxGE7QQC0aBrUFenYhaK7hNrnDkmdEO4=,Army,GBUM71600250
FVfLJ4h5U+1c4w2eHr8e/9W4J3s83/VjknmCOZHrCvM=,If You,KRA381601887
QWYcpfjf5vLcOMNM03GczLoQ0H9/jBZzNfnJT9Ua26s=,Give Love,TWA531400408
6+5qePhQYtNECVF8YFPBD3tOp5vlqPV6gak1ABvKSn4=,我們的紀念日,TWA210621705
TRsm9T/yLs/mYGcggJ0fdcb8V3UEs7oiR0K8APtqhgw=,給你的歌,HKI111600004
y4Up8sgzMSD0+7cMo2HeprT2Nv0rggp6UZUCLeZcMwU=,Selah,GBUM71604942
FtWAIX7bykbPWw1Bpha06ZA5GHfEi2bS78rRTrTONaQ=,都走到了這 (Make It This Far),TWA471606002
44yApcbyV5dH9OClp1rfXDFGCPIa1AhZOSwZnsfvigA=,淚空,JPPO00764920
Xrg8ZUyuhDeJmlTlpctfiBf817Xa4zfoi0VcrqPP7Nk=,Whip It,USCM51200114
t0pC0urSmJanB9SC1iKfk7955AUoevuSLub3vm7xoxE=,Open Heaven (River Wild),AUHS01507447
Lk0inRVUzoMeRVuVer4v863GodpDYDu68lRmGiFJkUU=,你在看什麼,JPSR09403290
jRHgqyJM5J89+ePki8OKSgTZFfNlWOi3yg5F5wwhynY=,唯一 (Wei Yi),TWA470128001
5Bodh/4SCpTLJiOSS5tHPXR7ra+Nk6FmrDHiHVEQNNI=,Shining Day,
bNNgwWLzKX1Ox8n0sOlCsGEoxq9fEqSeTyHF+r0yA4o=,擔心,
8ayqIorzfVcpM0419pUH+Qwv7UNfIRn1S7L40DLan/I=,我們的總和,TWA471603001
u3d60xvx0by7NOV/UZfvuGALrC5qRIeL1U1jNcBh3FM=,鴛鴦路,
RQpdpIPws8dPYtGEl33C6sFD1KPR25sWoZsdUIfNcJc=,Waiting Outside The Lines (勇敢守候),USUM71025942
NAsdU76r5Z74ZbfsqFlHTFRvJNmp9zH0nZkEgyTThDQ=,最美的痕跡 (The Most Beautiful Scar),TWA470708008
HKf0oR8pmsbszqQtuYZC8gSGDpgyD9GQoUKJ3R8h4jw=,Coming Home,USUM71200003
DISutMoWoTCyjraoan1RaFDg0f4wx4Ju4g74tM4xUDg=,90後generation (The 90's generation),TWI451600025
TdoS0gWqVxxNecd+124PnSbRkJxczG0t7bZxxkAspFU=,向前衝,
uS2NqAgxBBMlZjpVP+hlMdTivAhDRHyV/WsuMDI2qOg=,金剛,TWA211328701
c9Ne9szAyztRMLABetN9qWayYvUupRvEBrrohHU5XM0=,Mado Vado,TWP531002001
gzLVrsxIRPH/D98kR4sFkWbAskPb4Sya0apvR4YzTQU=,Go The Distnace (Hercules),USFV71100099
g5wxmUw0UHCN9xnC0chMZDJBgriJr6/Db8AUwof611k=,男人的汗,
QiLPNV7KSNydC/Wyn0Fw2di6cxX3FCl+XcC3Sb6jC0U=,It's True,TWJ010700408
8tS+17bdj0uxLxq894BER55Wre/4J7oBssrr5IuDWgk=,影子,HKG079400171
k4jnX3XdZlcTmlLk4fcZuPKT1Y/yJHJd74b6llD8XzI=,꺼내 먹어요 (Eat),USQY51565483
Kt2vYOhq3fnq//9qoc1xZTXNw6IL3eZmcGiFQYPZrTY=,Ruin,USUM71605944
